video_id,class
10599,1008
10602,1008
10888,323
10892,323
10893,323
10894,323
10895,323
10896,323
10898,323
10899,323
10900,323
10901,323
10902,323
10903,323
10904,323
11030,1269
11034,1269
11035,1269
11036,1269
11037,1269
11038,1269
11039,1269
11040,1269
11041,1269
11042,1269
11305,977
11309,977
11310,977
11311,977
11312,977
11313,977
11314,977
11315,977
11316,977
11327,977
11330,977
11470,853
11471,853
11472,853
11473,853
11474,853
11475,853
11476,853
11686,217
11687,217
11688,217
11689,217
11691,217
11692,217
11693,217
11971,905
11972,905
11973,905
11974,905
11977,905
12011,186
12013,186
12014,186
12015,186
12016,186
12019,186
12020,186
12058,323
12060,323
12062,323
12063,323
12064,323
12065,323
12066,323
12067,323
12068,323
12069,323
12158,703
12159,703
12160,703
12161,703
12162,703
12163,703
12164,703
12941,703
12942,703
12943,703
12944,703
12945,703
12946,703
12947,703
13023,1083
13026,1083
13244,648
13245,648
13246,648
13247,648
13248,648
13249,648
13250,648
13252,648
13253,648
13820,556
13822,556
13877,803
13878,803
13879,803
13880,803
13881,803
13883,803
14451,838
14565,19
14566,19
14567,19
14568,19
14569,19
14570,19
14571,19
14572,19
14829,433
14835,433
14836,433
14837,433
14838,433
14839,433
14840,433
14841,433
14844,433
14845,433
14855,1142
14882,1142
14883,1142
14884,1142
14885,1142
14886,1142
14887,1142
14888,1142
14889,1142
14891,1142
14893,1142
14894,1142
14895,1142
14896,1142
14898,1142
14899,1142
14901,1142
14903,1142
14952,433
14953,433
14954,433
14955,433
14956,433
14957,433
14960,27
14961,27
14964,27
14966,27
14967,27
14968,27
14978,462
14979,462
14981,462
14982,462
14983,462
14984,462
15317,1106
15319,1106
15320,1106
15321,1106
15322,1106
15323,1106
15324,1106
15325,1106
15326,1106
15327,1106
15328,1106
15330,1106
15331,1106
15332,1106
15422,840
15423,840
15424,840
15425,840
15426,840
15427,840
15428,840
15429,840
15430,840
15473,814
15474,814
15475,814
15476,814
15477,814
15478,814
15479,814
15480,814
15481,814
15691,653
15695,653
15696,653
15705,993
15706,993
15707,993
15708,993
15709,993
15710,993
15711,993
15712,993
15713,993
15741,83
15750,83
15751,83
15752,83
15753,83
15755,83
15840,613
15844,613
15845,613
15848,613
15849,613
15850,613
16001,838
16002,838
16004,838
16006,838
16155,433
16161,433
16162,433
16164,433
16165,433
16167,433
16168,433
16502,1278
16504,1278
16506,1278
16510,1278
16511,1278
16525,613
16526,613
16527,613
16528,613
16529,613
16530,613
16531,613
16560,1062
16561,1062
16562,1062
16563,1062
16564,1062
16565,1062
16567,1062
16568,1062
16569,1062
16581,27
16585,27
16586,27
16587,27
16588,27
16590,27
16591,27
16592,27
16593,27
16594,27
16595,27
16596,27
16597,27
16598,27
16803,500
16804,500
16805,500
16806,500
16807,500
16808,500
16809,500
16810,500
16811,500
17007,76
17013,76
17014,76
17015,76
17016,76
17017,76
17018,76
17019,76
17020,76
17024,76
17025,76
17026,76
17206,65
17208,65
17209,65
17212,65
17213,65
17214,65
17422,653
17428,653
17429,653
17430,653
17431,653
17432,653
17433,653
17434,653
17435,653
17436,653
17455,653
17456,653
17457,653
17458,653
17459,653
17460,653
17461,653
17511,1249
17512,1249
17513,1249
17514,1249
17518,1249
17520,1249
17521,1249
17557,868
17559,868
17560,868
17561,868
17562,868
17563,868
17564,868
17594,83
17595,83
17596,83
17597,83
17600,83
17601,83
17602,83
17604,83
17605,83
17607,83
17654,977
17655,977
17656,977
17657,977
17658,977
17659,977
17660,977
17661,977
17664,977
17665,977
17709,1308
17710,1308
17711,1308
17712,1308
17713,1308
17714,1308
17715,1308
17716,1308
17717,1308
17718,1308
17719,1308
17720,1308
17721,1308
17722,1308
17723,1308
17724,1308
17725,1308
17726,1308
17727,1308
17728,1308
17729,1308
17730,1308
17731,1308
17732,1308
17733,1308
17734,1308
17958,462
17959,462
17960,462
17961,462
17964,462
17965,462
18038,79
18154,197
18155,197
18156,197
18158,197
18159,197
18160,197
18161,197
18164,91
18166,91
18167,91
18168,91
18169,91
18177,91
18178,91
18181,91
18183,91
18184,91
18190,217
18195,217
18196,217
18197,217
18198,217
18199,217
18200,217
18201,217
18202,217
18203,217
18204,217
18227,197
18316,1179
18323,1179
18324,1179
18325,1179
18328,1179
18329,1179
18331,1179
18333,1179
18334,1179
18335,1179
19044,91
19049,91
19051,91
19053,91
19054,91
19055,91
19056,91
19057,91
19115,111
19198,203
19212,203
19213,203
19214,203
19215,203
19216,203
19217,203
19218,330
19219,330
19223,330
19224,330
19225,330
19226,330
19227,330
19228,330
19229,330
19230,330
19232,330
19233,330
19234,330
19235,330
19236,330
19237,330
19238,330
19239,330
19255,797
19257,797
19258,797
19259,797
19260,797
19261,797
19262,797
19263,797
19264,797
19265,797
19266,797
19267,797
19268,797
19269,797
19739,79
19742,79
19743,79
19744,79
19746,79
19747,79
19748,79
19760,1187
19766,1187
19769,1187
19966,899
19967,899
19968,899
19969,899
19970,899
19971,899
19972,899
19973,899
19974,899
19975,899
20064,814
20066,814
20067,814
20068,814
20070,814
20071,814
20072,814
20073,814
20074,814
20075,814
20076,814
20077,814
20108,1141
20109,1141
20110,1141
20111,1141
20113,1141
20114,1141
20115,1141
20137,388
20139,388
20141,388
20142,388
20143,388
20144,388
20145,388
20146,388
20147,388
20148,388
20149,388
20256,814
20257,814
20258,814
20260,814
20261,814
20262,814
20434,993
20435,993
20436,993
20437,993
20438,993
20439,993
20440,993
20441,993
20442,993
20443,993
20444,993
20445,993
20601,1107
20632,1107
20633,1107
20634,1107
20635,1107
20636,1107
20661,1107
20662,1107
20664,1107
20665,1107
20666,1107
20667,1107
20736,899
20737,899
20739,899
20740,899
20746,899
20747,899
20748,899
20965,129
20967,129
20969,129
20970,129
20971,129
20972,129
20973,129
21202,19
21204,19
21205,19
21207,19
21209,19
21210,19
21212,19
21217,19
21218,19
21219,19
21220,19
21221,19
21302,801
21303,801
21304,801
21306,801
21309,801
21312,801
21319,1176
21324,1176
21325,1176
21326,1176
21327,1176
21328,1176
21330,1176
21331,1176
21332,1176
21333,1176
21334,1176
21816,111
21820,111
21821,111
21822,111
21823,111
21824,111
21825,111
21826,111
21852,1062
21853,1062
21854,1062
21855,1062
21856,1062
21858,1062
21859,1062
21860,1062
21863,1062
21933,65
21941,65
21942,65
21943,65
21944,65
21945,65
21946,65
21949,65
21950,65
21951,65
21952,65
21953,65
21954,65
21955,65
21956,65
22739,1179
22743,1179
22744,1179
22745,1179
22746,1179
22747,1179
22748,1179
22749,1179
22750,1179
22907,1166
22911,1166
22912,1166
22913,1166
22914,1166
22916,1166
22917,1166
22918,1166
22919,1166
22920,1166
23046,803
23050,803
23051,803
23053,803
23054,803
23055,803
23945,1105
23946,1105
23947,1105
23948,1105
23949,1105
23951,1105
23952,1105
23953,1105
23954,1105
23955,1105
23956,1105
24167,217
24169,217
24174,217
24175,217
24405,790
24438,790
24439,790
24440,790
24441,790
24443,790
24444,790
24445,790
24447,790
24514,308
24515,308
24516,308
24517,308
24518,308
24519,308
24520,308
24522,308
24636,1083
24638,1083
24639,1083
24640,1083
24641,1083
24642,1083
24643,1083
24645,1083
24648,1083
24649,1083
24651,1083
24652,1083
24655,1083
24656,1083
24657,1083
24658,1083
24659,1083
24660,1083
25037,59
25066,59
25067,59
25068,59
25069,59
25070,59
25071,59
25072,59
25073,59
25075,59
25076,59
25318,36
25321,36
25322,36
25323,36
25324,36
25325,36
25326,36
25327,36
25329,36
25330,36
25332,36
25333,36
25338,36
25339,36
25350,36
25351,36
25352,36
25353,36
25354,36
25356,36
25521,59
25522,59
25524,59
25527,59
25528,59
25529,59
25844,1086
25846,1086
25847,1086
25849,1086
25850,1086
25851,1086
25852,1086
26491,1187
26494,1187
26495,1187
26496,1187
26497,1187
26498,1187
26499,1187
26500,1187
26501,1187
26502,1187
26503,1187
26524,848
26525,848
26526,848
26527,848
26528,848
26530,848
26531,848
26532,848
26533,848
26534,848
26536,848
26537,848
26938,197
26942,197
26943,197
26947,197
26950,197
26951,197
26952,197
26953,197
26955,197
26971,451
26972,451
26973,451
26974,451
26975,451
26976,451
26978,451
26980,451
26981,451
26982,451
26983,451
26984,451
26985,451
26986,451
27194,1205
27206,1205
27207,1205
27208,1205
27209,1205
27210,1205
27211,1205
27212,1205
27213,1205
27214,1205
27215,1205
27216,1205
27217,1205
27218,1205
27219,1205
27220,1205
27221,1205
27915,1324
27940,1324
27941,1324
27942,1324
27943,1324
27944,1324
27945,1324
28375,556
28376,556
28377,556
28378,556
28379,556
28380,556
28381,556
28382,556
28383,556
28384,556
28385,556
28810,740
28820,740
28821,740
28823,740
28824,740
28826,740
28827,740
28875,310
28876,310
28877,310
28878,310
28879,310
28880,310
28881,310
28885,310
28886,310
29171,189
29628,1100
29631,1100
29632,1100
29633,1100
29634,1100
29635,1100
29636,1100
29637,1100
29638,1100
29641,1100
29646,1100
29647,1100
29648,1100
29649,1100
29650,1100
29651,1100
29652,1100
29653,1100
29654,1100
29655,1100
29656,1100
29660,1100
29661,1100
29718,189
29719,189
29720,189
29721,189
29722,189
29723,189
29724,189
29725,189
29726,189
29865,189
29866,189
29867,189
29868,189
29869,189
29870,189
29872,189
29873,189
29897,779
29899,779
29900,779
29901,779
29902,779
29903,779
29961,388
29962,388
29963,388
29964,388
29965,388
29966,388
29967,388
30227,753
30230,753
30231,753
30232,753
30233,753
30234,753
30235,753
30237,753
30238,753
30239,753
30240,753
30241,753
30242,753
30467,779
30468,779
30469,779
30470,779
30471,779
30472,779
30473,779
30474,779
30475,779
30476,779
30477,779
30478,779
30830,853
30831,853
30832,853
30833,853
30834,853
30835,853
30837,853
30840,853
30841,853
30842,853
30843,853
30848,853
30849,853
31216,486
31218,486
31219,486
31220,486
31221,486
31222,486
31223,486
31232,848
31233,848
31234,848
31236,848
31237,848
31238,848
31239,848
31315,1324
31316,1324
31317,1324
31318,1324
31320,1324
31321,1324
31322,1324
31323,1324
31324,1324
31641,385
31649,385
31650,385
31651,385
31652,385
31654,385
31655,385
31656,385
31657,385
31658,385
31659,385
31660,385
31896,129
31897,129
31898,129
31899,129
31900,129
31901,129
31902,129
31903,129
31904,129
31906,129
31907,129
31908,129
31909,129
32046,889
32047,889
32048,889
32049,889
32050,889
32051,889
32052,889
32246,111
32248,111
32249,111
32250,111
32251,111
32254,111
32258,111
32259,111
32263,111
32692,1333
32693,1333
32694,1333
32695,1333
32696,1333
32697,1333
32698,1333
32699,1333
32700,1333
32701,1333
32999,107
33000,107
33001,107
33002,107
33003,107
33004,107
33005,107
33266,186
33270,186
33273,186
33284,186
33286,186
33848,1130
33851,1130
33855,1130
33856,1130
33857,1130
33858,1130
34352,203
34353,203
34354,203
34355,203
34356,203
34357,203
34358,203
34359,203
34558,803
34575,803
34577,803
34578,803
34579,803
34580,803
34581,803
34582,803
34583,803
34584,803
34585,803
34586,803
34822,1018
34823,1018
34824,1018
34825,1018
34826,1018
34827,1018
34828,1018
34829,1018
34830,1018
34831,1018
34832,1018
34833,1018
34834,1018
34835,1018
34836,1018
34838,1018
34839,1018
35554,1008
35555,1008
35556,1008
35557,1008
35558,1008
35559,1008
35560,1008
35566,500
35567,500
35568,500
35569,500
35570,500
35571,500
35572,500
35678,222
35681,222
35761,905
35762,905
35763,905
35764,905
35765,905
35768,905
35769,905
36603,1066
36604,1066
36605,1066
36606,1066
36607,1066
36608,1066
36610,1066
36611,1066
36927,1066
36929,1066
36930,1066
36931,1066
36932,1066
36933,1066
36934,1066
36936,1066
36937,1066
36938,1066
36939,1066
36940,1066
36941,1066
36942,1066
36945,1066
36946,1066
37003,203
37004,203
37005,203
37006,203
37007,203
37008,203
37302,385
37305,385
37306,385
37307,385
37308,385
37309,385
37310,385
37356,1008
37363,1008
37364,1008
37365,1008
37367,1008
37368,1008
37369,1008
37370,1008
37371,1008
37372,1008
37373,1008
37575,222
37580,222
37581,222
37582,222
37583,222
37584,222
37585,222
37586,222
37587,222
37588,222
37589,222
37590,222
37879,195
37881,195
37882,195
37883,195
37884,195
37885,195
37886,195
37890,195
37891,195
37892,195
37893,195
37894,195
38042,753
38043,753
38044,753
38045,753
38046,753
38047,753
38048,753
38176,544
38178,544
38179,544
38180,544
38181,544
38182,544
38183,544
38184,544
38185,544
38186,544
38281,1269
38282,1269
38283,1269
38284,1269
38285,1269
38286,1269
38287,1269
38288,1269
38289,1269
38292,1269
38293,1269
38329,79
38336,79
38337,79
38338,79
38339,79
38341,79
38342,79
38343,79
38344,79
38345,79
38585,1189
38586,1189
38588,1189
38589,1189
38590,1189
38592,1189
38593,1189
38594,1189
38828,1189
38830,1189
38841,1189
38842,1189
38843,1189
38844,1189
38849,1189
38982,908
38990,908
38991,908
38994,908
38995,908
38996,908
38997,908
38999,908
39000,908
39001,908
39002,908
39003,908
39004,908
39005,908
39006,908
39067,1018
39068,1018
39069,1018
39070,1018
39071,1018
39073,1018
39285,790
39286,790
39287,790
39288,790
39289,790
39290,790
39291,790
39333,1187
39334,1187
39335,1187
39336,1187
39337,1187
39339,1187
39377,554
39378,554
39379,554
39381,554
39382,554
39383,554
39384,554
39385,554
39424,894
39425,894
39426,894
39427,894
39428,894
39429,894
39430,894
39431,894
39432,894
40171,1310
40175,1310
40178,1310
40179,1310
40183,452
40226,452
40229,452
40230,1310
40231,1310
40233,452
40234,1310
40235,1310
40236,1310
40649,462
40650,462
40651,462
40652,462
40653,462
40654,462
40655,462
40656,462
40657,462
41256,394
41262,394
41263,394
41264,394
41265,394
41266,394
41267,394
41480,26
41487,26
41810,1278
41811,1278
41812,1278
41813,1278
41814,1278
41815,1278
41816,1278
42419,236
42423,236
42424,236
42425,236
42426,236
42428,236
42429,236
42431,236
42433,236
42434,236
42501,905
42504,905
42540,76
42541,76
42542,76
42543,76
42544,76
42545,76
42546,76
42547,76
42585,1062
42597,1062
42649,310
42651,310
42652,310
42653,310
42654,310
42655,310
42656,310
42657,310
42658,310
42659,310
42660,310
42664,394
42665,394
42666,394
42667,394
42668,394
42669,394
42670,394
43037,452
43056,452
43057,452
43058,452
43059,452
43060,452
43061,452
43062,452
43063,452
43064,452
43065,1310
43066,452
43067,452
43079,1086
43081,1086
43082,1086
43083,1086
43087,1086
43089,1086
43090,1086
43166,868
43171,868
43174,868
43178,868
43179,868
43213,797
43217,797
43218,797
43219,797
43220,797
43221,797
43222,797
43223,797
43224,797
43225,797
43226,797
43519,648
43522,648
43523,648
43524,648
43525,648
43526,648
43527,648
43528,648
43529,648
43531,648
43532,648
43533,648
43534,648
43535,648
43536,648
43537,648
43538,648
43539,648
43540,648
43542,648
43828,461
43829,461
43830,461
43831,461
43833,461
43834,461
43835,461
43836,461
43837,461
43838,461
43839,461
43900,1106
43901,1106
43902,1106
43903,1106
43904,1106
43905,1106
43907,1106
43908,1106
43909,1106
43910,1106
43911,1106
43944,461
43945,461
43946,461
43948,461
43949,461
43950,461
44080,763
44081,763
44082,763
44083,763
44084,763
44085,763
44086,763
44087,763
44088,763
44090,763
44091,763
44213,801
44221,801
44222,801
44224,801
44225,801
44226,801
44227,801
44267,452
44273,452
44274,452
44275,1310
44276,1310
44277,1310
44278,452
44280,452
44281,452
44319,1333
44320,1333
44321,1333
44322,1333
44323,1333
44324,1333
44325,1333
44327,1333
44328,1333
44329,1333
44333,908
44334,908
44335,908
44340,908
44344,908
44347,908
44349,908
44350,908
44556,544
44558,544
44559,544
44560,544
44562,544
44563,544
44564,544
44567,544
44568,544
44569,544
44570,544
44571,544
44572,544
44618,1259
44624,1259
44625,1259
44626,1259
44627,1259
44628,1259
44631,1259
44632,1259
44633,1259
44732,1106
44733,1106
44734,1106
44735,1106
44736,1106
44737,1106
44738,1106
44739,1106
44740,1106
44741,1106
44789,960
44790,960
44791,960
44792,960
44793,960
44794,960
44795,960
44796,960
44949,899
44950,899
44951,899
44952,899
44953,899
44954,899
44955,899
44956,899
45097,899
45098,899
45099,899
45100,899
45101,899
45102,899
45104,899
45105,899
45108,1083
45110,1083
45111,1083
45112,1083
45113,1083
45114,1083
45115,1083
45116,1083
45117,1083
45186,451
45193,451
45194,451
45196,451
45197,451
45198,451
45199,451
45218,544
45219,544
45220,544
45221,544
45222,544
45223,544
45224,544
45252,1249
45261,1249
45262,1249
45263,1249
45264,1249
45265,1249
45266,1249
45267,1249
45268,1249
45269,1249
45270,1249
45271,1249
45272,1249
45273,1249
45362,1278
45363,1278
45364,1278
45365,1278
45366,1278
45367,1278
45368,1278
45369,1278
45410,7
45411,7
45412,7
45413,7
45414,7
45415,7
45416,7
45419,1269
45421,1269
45423,1269
45424,1269
45425,1269
45524,1106
45525,1106
45526,1106
45527,1106
45529,1106
45530,1106
45532,1106
45819,768
45820,768
45821,768
45822,768
45824,768
45825,768
45826,768
45864,703
45865,703
45866,703
45867,703
45869,703
45870,703
45872,703
45873,703
46164,801
46165,801
46166,801
46167,801
46170,801
46172,801
46173,801
46310,173
46314,173
46315,173
46316,173
46317,173
46318,173
46319,173
46335,129
46339,173
46368,173
46369,173
46370,173
46371,173
46374,173
46375,173
46489,790
46491,790
46492,790
46493,790
46494,790
46495,790
46496,790
46497,790
46606,894
46607,894
46608,894
46609,894
46610,894
