video_id,class,sequence_length
65009,574,58
67342,574,43
65014,868,64
67346,868,38
65020,1130,67
68958,182,44
65022,182,60
65030,539,76
67351,539,44
68276,519,51
65032,519,58
65034,320,56
67352,320,37
65037,910,54
67353,910,48
65052,1245,61
65053,1063,66
65054,1063,45
65057,475,47
67357,328,67
69207,186,63
65059,231,52
65063,762,60
67358,762,51
65071,201,51
67362,201,60
65072,343,76
67364,343,36
65076,1158,51
65081,683,65
69213,928,78
68003,928,84
68576,928,129
65085,928,60
67367,928,30
65088,757,66
65091,1092,69
65092,377,66
65095,1161,59
67370,1161,47
65097,83,74
67372,83,60
65107,135,59
67375,135,73
65116,931,79
65118,932,53
67376,590,41
65148,845,66
67394,845,26
65149,1064,61
67395,1064,67
68007,1264,87
65175,285,63
67406,285,57
65180,1197,48
69231,252,66
65183,252,64
69233,1257,72
65187,1257,69
67411,1257,31
65202,1058,76
65224,245,64
67422,245,46
69241,106,64
65225,106,64
68011,106,47
68208,106,124
65229,58,49
67427,58,32
65230,1195,46
67426,1195,43
65234,666,67
69244,1134,75
65244,1134,61
67434,1134,53
65251,1043,50
67438,1043,38
69250,42,71
68828,42,57
65260,42,63
65267,706,74
67448,706,59
65268,1214,66
65269,1214,76
68590,1214,54
67449,1214,69
69255,7,77
68566,7,62
65282,7,64
67453,7,65
67455,1228,43
65289,898,80
65556,236,52
68017,185,73
68884,185,127
65293,185,76
67464,185,35
69257,461,48
65294,461,55
67465,461,64
65300,948,67
67470,948,45
67471,450,58
69258,392,63
69078,392,47
67473,392,66
65304,251,68
69260,42,86
65321,421,64
65323,719,66
65327,1288,58
68580,663,51
68019,663,47
65328,663,61
67483,663,27
10004,445,49
69266,445,66
10008,445,48
10009,445,29
10014,952,52
10021,952,46
10022,952,59
10023,952,75
10015,952,118
10016,952,96
10017,952,33
10019,952,77
10088,764,49
65337,764,64
10089,764,72
10090,764,46
10093,764,38
10094,764,66
10095,764,66
10096,764,84
10099,241,43
68020,241,83
69056,241,137
10104,241,28
10107,241,85
10108,241,54
10109,241,46
10111,241,33
67487,241,53
10112,241,80
10114,241,68
10134,658,43
10142,658,60
10143,658,52
65340,658,61
10136,658,68
10137,658,30
10138,658,68
10140,658,55
10146,809,46
10161,400,70
10162,809,48
10164,400,53
10147,809,72
10166,400,79
10148,809,34
10149,400,43
67489,809,42
10157,809,46
10158,332,36
10159,400,49
10160,400,82
65343,815,78
10184,251,78
10185,815,46
10187,815,80
10188,815,72
10192,251,24
10183,815,71
67491,815,37
10193,251,85
10195,815,54
10196,815,50
10260,489,43
10273,489,67
10274,489,68
10275,489,72
67492,489,31
10267,489,56
10268,489,67
10269,489,75
10272,489,104
10295,805,63
10296,805,146
10297,805,76
10298,805,78
10300,1000,68
10305,805,66
10308,805,85
10309,805,69
10310,805,54
10313,805,57
10314,805,88
10315,805,80
10388,1091,54
67494,1091,61
10389,1091,75
10390,1091,23
10393,1091,63
10395,1257,46
10406,1257,100
10397,1257,54
10408,1257,58
10410,1257,59
10435,188,43
10450,188,29
10451,188,63
10452,188,60
10453,188,96
10444,188,34
10445,188,43
10446,188,31
10449,188,53
68800,398,44
10464,398,81
10465,398,55
10466,398,41
65352,398,70
10461,398,67
67495,398,52
10472,398,53
10514,1279,74
10524,1279,54
10525,1279,61
10516,1279,61
10517,1279,29
10519,1279,55
10520,1279,45
10577,243,46
10586,243,81
10587,243,73
65354,243,67
10580,243,57
10581,243,82
10582,243,20
10583,243,52
10588,95,54
10597,95,53
10598,95,75
10589,95,153
10592,95,92
10593,95,30
10594,95,44
10595,95,29
10599,1008,75
10602,1008,87
10608,735,43
10609,735,32
10610,735,39
10611,86,28
10612,735,28
10624,1225,41
10628,1225,53
10630,1225,28
10631,1225,44
10635,95,29
10637,95,46
10639,95,48
10640,95,62
65355,306,69
10652,306,60
10645,306,66
10655,306,68
10673,334,60
10679,334,83
10680,334,85
10681,334,19
10684,334,77
10685,528,79
65356,334,54
10687,528,58
10688,334,58
10689,528,95
10690,528,38
10696,444,43
68554,444,42
10708,444,39
10709,444,31
10703,444,53
10714,444,54
10715,444,70
10704,444,61
10707,444,55
10768,518,43
68658,518,94
10776,518,50
10777,518,77
10769,518,52
10770,518,62
10771,518,34
10772,518,85
10775,518,65
65359,199,58
10786,199,78
67500,199,55
10787,199,111
10790,199,70
10792,199,70
10810,409,52
10820,409,72
65360,409,66
10813,409,48
10816,409,65
10817,409,63
10888,323,43
69269,323,78
68374,323,61
10895,323,107
10899,323,48
10900,323,39
10901,323,56
65362,323,63
67501,323,38
10902,323,88
10903,323,66
10904,323,78
10965,609,46
69270,609,54
68376,609,136
68021,609,77
10976,609,74
65364,609,63
10967,609,102
67502,609,41
10970,609,72
10971,609,22
10972,609,53
10973,609,43
11006,789,63
11007,789,63
11008,789,82
11009,789,83
11012,789,71
11013,789,84
11014,789,73
11015,789,83
11030,1269,38
11042,1269,71
65365,1269,76
11034,1269,63
11037,1269,94
11038,1269,54
11039,1269,55
11040,1269,25
11059,127,41
11067,127,72
65366,127,64
67503,127,49
11063,127,55
11064,127,27
11066,127,69
11087,1050,43
11088,1050,53
11089,1050,75
11090,1050,50
11094,1050,38
11095,1050,66
11096,1050,77
11103,253,103
11113,253,74
11104,253,24
11105,253,83
11112,253,39
11142,1052,60
11148,1052,85
11150,1052,77
11151,1052,80
11143,1052,81
11144,1052,48
11146,1052,53
11197,680,54
11198,680,70
11199,680,56
11200,680,110
11203,680,68
11204,680,67
11205,680,58
67504,680,69
11252,907,87
68654,907,38
11255,907,24
11259,615,33
11260,615,55
11262,907,38
11265,615,61
11253,907,42
11305,977,52
68870,977,51
68024,977,62
11327,977,71
11311,977,78
11312,977,55
11313,977,31
11314,977,49
11316,977,86
11356,353,43
11364,353,42
11365,353,95
67506,353,65
11359,353,48
11360,353,36
11361,353,47
11362,353,95
11376,736,63
65372,736,63
11379,736,70
67507,736,34
11382,736,50
11383,736,63
11384,736,83
11408,934,37
11409,934,72
11412,934,42
11413,934,35
11416,934,89
11418,590,106
11419,590,32
11420,590,98
11423,590,57
11424,590,74
11436,490,104
11437,490,32
11438,490,42
11440,490,23
11443,490,62
11444,490,82
11470,853,66
11471,853,76
11472,853,53
11473,853,38
11476,853,87
11497,979,63
11498,979,98
11499,979,34
11500,979,28
11503,979,28
11504,979,43
65374,587,57
11527,587,100
67509,587,37
11528,587,30
11532,587,67
11533,587,56
11534,587,83
11552,41,49
68025,41,107
69024,41,106
11565,41,64
11558,41,109
67510,41,38
11559,41,46
11560,41,90
11563,41,43
11564,41,73
65377,282,48
11638,282,80
11622,282,64
11623,282,62
11627,282,45
11628,282,75
11630,282,55
11621,282,50
11634,282,57
11635,282,28
11636,282,75
11637,282,71
11686,217,59
11687,217,94
11688,217,55
11689,217,33
11693,217,70
11704,372,41
68026,372,123
11714,372,108
11715,372,69
65379,372,76
11708,372,90
67512,372,31
11718,372,75
11711,372,79
11712,372,55
11713,372,43
11752,336,54
69274,336,92
68202,336,44
68027,336,49
11774,336,58
11775,336,88
11776,336,64
11767,336,63
11778,336,72
11779,336,53
11780,336,76
11768,336,58
11812,468,52
11827,468,64
11828,468,80
67515,468,48
11823,468,48
11824,468,66
11826,468,86
11839,510,35
11884,510,71
11876,510,45
11877,510,35
11882,510,38
65558,1157,51
11862,1157,41
11872,1157,45
11863,1157,16
11866,1157,34
11867,1157,41
11900,6,46
11911,6,75
65381,6,76
11903,6,54
11906,6,84
11907,6,55
11908,6,58
11910,6,79
11929,506,35
11930,506,119
11931,506,29
11932,506,43
11935,506,80
11936,665,49
11950,665,54
11951,665,53
11942,665,88
11944,665,76
11946,665,57
11947,665,58
11948,665,31
65382,905,69
11971,905,79
11972,905,44
11973,905,73
11994,766,101
11995,766,61
11996,766,55
11997,766,33
12000,766,74
12004,1045,52
65383,1045,75
12005,1045,81
12006,1045,79
12010,1045,79
12011,186,43
69276,186,74
12013,186,72
12016,186,58
12019,186,66
12020,186,101
12022,1146,49
12023,1146,128
12024,1146,77
12025,1146,75
12028,1146,74
12058,323,35
12069,323,80
12060,323,141
12062,323,109
12065,323,53
12066,323,43
12067,323,59
12068,323,59
12071,1217,68
12072,1217,103
12073,1217,40
12074,1217,75
12077,1217,78
12078,1217,81
12079,1217,79
12099,775,35
12107,775,47
12108,775,46
12109,775,75
12102,775,55
12104,775,33
12111,965,43
12121,965,63
12122,965,79
65386,965,71
12115,965,43
12116,965,77
12117,965,44
12118,965,43
12158,703,106
12159,703,82
12160,703,24
12161,703,48
12164,703,71
12188,256,41
12190,256,60
12191,256,75
12192,256,26
12195,256,47
12196,256,48
12197,256,71
12198,256,74
12210,558,99
12211,558,40
12213,558,55
12222,66,41
12229,66,64
12230,66,63
12231,66,79
67518,66,46
12225,66,35
12226,66,69
12227,66,55
12290,910,35
12299,910,63
12296,910,38
12306,694,52
68028,694,89
69054,694,153
12328,643,75
12329,643,102
12312,694,86
